run,block,distance,speed,category,category_start_id,image_id,trial_in_run,trial,category_id,start_id,target_id,category_target_id,direction,speed_cue_dur,blink_dur,sample_dur,feedback_dur,iti_dur,probe_dur,buffer_dur,ts,trial_dur,subject,session
5,1,17,1.6,hands,1,hands_1,6,150,7,13,12,2,1,11.25,2500,1000,1000,2833.002468424775,0,1630.956429360608,10625.0,19600.208897785382,0,0
5,1,12,1.6,face,2,face_2,7,151,1,2,14,2,1,11.25,2500,1000,1000,2529.953669577454,1000,1657.0900738544103,7500.0,17198.293743431866,0,0
5,1,16,1.6,object,1,object_1,8,152,5,9,7,1,1,11.25,2500,1000,1000,2373.452294537323,0,1365.8675781175918,10000.0,18250.569872654916,0,0
5,1,12,1.6,leg,1,leg_1,9,153,3,5,17,1,1,11.25,2500,1000,1000,2280.3398428813853,0,1776.6603543165513,7500.0,16068.250197197936,0,0
5,2,16,2.0,shapes,1,shapes_1,10,154,8,15,13,1,1,9.0,2500,1000,1000,2011.856181939316,0,1244.3894464789373,8000.0,15765.245628418254,0,0
5,2,12,2.0,leg,2,leg_2,11,155,3,6,18,2,1,9.0,2500,1000,1000,2704.3033374294687,1000,1307.1582442931349,6000.0,15520.461581722604,0,0
5,2,13,2.0,house,2,house_2,12,156,2,4,17,1,1,9.0,2500,1000,1000,2283.3522367755313,0,1111.9117147028692,6500.0,14404.2639514784,0,0
5,2,15,2.0,face,1,face_1,13,157,1,1,16,2,1,9.0,2500,1000,1000,2925.0417039055824,0,1341.0731447628848,7500.0,16275.114848668467,0,0
5,2,17,2.0,food,1,food_1,14,158,6,11,10,2,1,9.0,2500,1000,1000,2604.9839907079845,0,1070.420781246261,8500.0,16684.404771954243,0,0
5,2,15,2.0,hands,2,hands_2,15,159,7,14,11,1,1,9.0,2500,1000,1000,2613.6784181860103,0,1462.0779771609411,7500.0,16084.75639534695,0,0
